	sentiment	comment
4242	negative	Не в коем случае не советую брать , пока производитель не соизволит вернуть качество дисплеев.
4243	positive	"Не смотря на то, что ждали консультанта около 5 минут, он нам все тщательно рассказал, объяснил, был доволен.
Никаких писков, тресков вообще не обнаружил."
4244	positive	очень порадовал
4245	positive	Смартфон очень понравился, несмотря на плохие отзывы продавцов-консультантов...сначала расстоил аккумулятор ,потому что садился за полдня, потом скачала обновление до 19s версии,сейчас держит 1,5 дня. Очень шустрый, ничего не виснет-это для меня главное. Есть такой клёвый режим- автоматическая настройка яркости,но ее и выключить можно. Удобно сидит в руке несмотря на размер, я быстро привыкла. Камера с учетом ценника хорошая, при низкой освещенности снимки хуже. В комплекте идет чехол. На Али экспресс куча аксессуаров. В общем я рада покупкой, советую. Особенно геймеры будут счастливы от производительности и графики.
4246	positive	При зарядке писков не обнаруженно. Красная цена экрана с сенсором 2500 самостоятельная замена не более 20 минут.
4247	negative	"Купились на очень активную рекламу, внешний вид и недорогую цену, но как обычно это бывает – скупой платит дважды!!! Эта пословица 100% относится к покупке данного телефона. Из явных проблем: проблемы с динамиками, раздается непонятный резкий звук при разговоре, очень сильно нагреваются, если пользоваться больше чем просто телефон для звонков, фотографии получаются размытыми, самое главное, стопроцентная экономия на качестве дисплейного модуля и нереально завышенные расценки на стоимость ремонта и замены дисплея. Что и случилось с моим телефоном, который был в защитном чехле и с защитным стеклом на дисплее, купленным также вместе с телефоном. В очереди сервисного центра выяснилось, что люди также сдают свои новенькие смартфоны для замены дисплея, при этом, с их слов, телефон просто упал из положения стоя на сам дисплей, после чего он треснул и полностью вышел из строя. Самое интересное, что стоимость замены дисплея в сервисном центре обойдется вам около 6500 руб. Складывается впечатление, что дисплей – это самая ценная часть в этом смартфоне. 
Соответственно, решайте сами, но стоит все взвесить, прибавить стоимость замены дисплея, который у вас, скорее всего треснет, если вы его под колпаком хранить не будете и не забывать, что хорошему товару, агрессивная реклама не требуется и скупой всегда платит дважды!!! Удачных всем покупок!"
4248	positive	Очень хороший телефон за свои деньги
4249	positive	"Монстр какой-то! За эти деньги аналогов нет просто)
Наличие гироскопа стало приятным сюрпризом. Очень классно в VR очках смотреть что-нибудь"
4250	positive	За свои деньги телефон очень хороший 83000 попугаев в Antutu набирает.
4251	positive	Был до этого Xiaomi - устал от его глюков. У Meizu ломается кнопка. Нет, это не для меня. А вот эта модель Lenovo меня устраивает. Надежный, четкий во всех смыслах смарт без всяких глюков с настоящей полимерной батареей и стерео.
4252	positive	Если у второго такого же телефона будет та же проблема, придется изменить оценку на 1.
4253	positive	Нисколько не жалею о покупке.
4254	positive	За эту цену отличный аппарат.
4303	positive	"Пользуюсь активно больше месяца. Сказать, что довольна - ничего не сказать...!!!!! Раз в три дня нахожу какой-нибудь новый прибамбас! До этого был LG... Хороший телефон, но скорость моей жизни с его скоростью ""рассорились""... Леново - это просто что-то!!!! Красивый, быстрый, четкий, камера - особенно этот загадочный режим ""HDR""... Я не знаю что он делает - но фотки с ним получаются....!!!!!! А функция селфи камеры ""Бьютификация""!!!!! Девочки...!!!! Как я раньше без него жила!!!!! А писать в чаты не отрывая пальца от экрана!!!!! И все получается!!!!! Это НЕЧТО!!!! Не покупайте никто! Пусть будет у меня одной!!!! По поводу ""скользкий"" - я сразу купила отличный прозрачный чехол для него, стоит ""три копейки"", рублей 130-140 - ничего у меня не выскальзывает. Стекло защитное- еще ""три копейки""- 170р. И я в нирване...!"
4304	positive	Отличный телефон для тех, кто всё время не далеко от розетки.
4305	neutral	Хороший телефон за такие деньги по сравнению с аналогами. Для девушки неплох, но получить от него превосходные снимки и селфи не сможете. Хотя можете попробовать. Дизайн общий понравился. Производительность.
4322	positive	соответствует цене,превосходит конкурентов по многим уровням(в данном сегменте.)
4323	positive	За такую сумму,лучший вариант.
4325	positive	Советую брать школьникам для игр и интрнет сёрфинга.
4326	neutral	хороший апарат но не для меломанов.
4327	positive	может пару лет протянет , как и предыдущий хуавей пока за 3 месяца использования явных глюков в работе смарта не заметил .
4328	positive	Купила как временный телефон, но даже после айфона этот телефон вполне удобен.
4329	positive	для такой модели с ее оснащением аккумулятор несправедливо мал в объеме!!! и на рабочий день может не хватить, конечно без использования игр и просмотра видео...2420 просто не соответствует другим хорошим показателям телефона и ограничивает его эксплуатацию....просто смешно... огромный минус((((((((
4330	positive	Чехол и стекло легко подбирается.
4331	negative	Вообще попал ко мне в руки этот аппарат после того, как мой iphon 6s немного приболел. Я понимаю, что сравнивать эти аппараты при такой разнице в цене не совсем корректно, но больше не с чем. И в сравнении с iphone этот аппарат ужасен почти во всем. Разве что дисплей радует, но не долго. Я бы лучше взял версию на 16 гигабайт. Там и процессор энэргоэффективнее и АКБ получше. Так он еще и дешевле. Правда там и оперативной памяти поменьше.
4332	negative	Если хотите хорошую камеру, то лучше купите фотоаппарат.
4334	neutral	Телефон хороший, единственная беда-это батарея! Знала бы, не взяла!
4337	positive	В целом аппарат нормальный, нужно приноровиться к недостаткам, в последующем надеюсь исправится.
4338	positive	Аппарат замечательный, батарейки хватает на 3е суток, при среднем использовании wi-fi/4G/аудио/видео. С хорошими наушниками звук действительно отличный. Камеры нормальные, снимать можно))). Очень доволен телефоном!
4341	positive	"телефон просто супер,мне кажется он идеальный именно для тех людей которые постоянно в интернете и инстаграмме)),заказала чехол и стекло,в ожидании :)
Меня очень хорошо обслужил консультант,в общем телефон идеален))) Всем советую,не пожалеете,и конечно же пять баллов!)))"
4342	positive	Свежий смартфон, вне конкуренции в своей ценовой категории. Рекомендую.
4343	positive	В целом смартфон крупный, громкие динамики, фотокамера интересная. Пока такие первые впечатления.
4344	positive	"Рискнул попробовать Huawei (Honor) пол года назад.
Теперь у всей семьи смартфоны Huawei и в будущем приоритет будет именно этой фирме. Китайцы меня приятно удивили умением сделать качественную и недорогую вещь!"
4345	positive	"Без претензий на ""гламур и моду"" очень хороший аппарат. Советую."
4347	positive	мне нравиться)))
4348	positive	В целом смартфоном очень доволен, для работы идеальный вариант.
4349	positive	"Брал за 18000 пару лет назад, сейчас же для него просто отличная цена, если учесть что на нем запускается без проблем любое мобильное приложение подходящее под смартфон. Ждать многого от батареи не стоит, все же двухсимочный режим сильно садит батарею, а если добавить активное использование и Интернет... Но ее вполне достаточно чтобы не беспокоиться о зарядке под рукой в течение дня. За два года ни разу не вызвал нареканий, хотя и ронялся и т.д.
Недостатки малы, но они все же не дают поставить полную 5."
4350	positive	Телефон в целом очень не плох, за сегодняшнюю цену стоит брать. 2 года назад стоил 19990р. Мне скорее всего просто не повезло.
4351	positive	телом доволен, кто умеет хорошо настраивать под себя систему, поймет, ибо на нем это не составляет особого труда.
4352	positive	В целом покупкой довольна, вот только на следующий день, после посещения магазина, обнаружила что из заявленных РАБОЧИХ стереодинамиков, работает только левый. Правый предательски молчит. Для меня не критично, выяснять что-либо не пойду. Но общее впечатление конечно подпортило.
4353	positive	Пользуюсь чуть больше года. Еще ни разу не пожалел, что приобрел этот аппарат.
4354	positive	Отличный телефон за свою цену
4355	positive	Если бы рынок смартфонов так быстро не развивался,я бы и следующим своим телефоном сделала P70,никаких недостатков,сплошные достоинства.А сравнивать есть с чем.В своём ценовом сегменте-лучшее,что может предложить Lenovo.
4356	positive	До 5-й версии андроида обновлять не стал. Цена высокая, но и качество хорошее. В целом доволен.
4357	positive	Телефон рекомендую, очень доволен! Это не первый леново у меня, он меня довольно сильно удивил!
4358	neutral	За такие деньги очень дорого
4359	positive	Покупкой остался доволен ,тем более за такие деньги_
4360	positive	Покупкой доволен
4361	neutral	Совет. Если вы все же решили купить данную модель приобретайте сразу к нему внешний аккумулятор.
4362	positive	Советую всем. Смартфон подойдёт для решения самых разных задач, даже требовательных игр.
4363	positive	Отличный телефон, всё сбалансировано и прекрасно работает. Отключаем всё не нужное, оптимизируем синхронизацию и мне так батареи на 4 дня хватает. Камера очень достойная, передняя так 8 мп и широкоугольная. 4G не пользуюсь так как и 3G реально круто на телефоне  работает.
4364	neutral	В общем за такие деньги Вы имеете смартфон со слабой камерой, не качественными динамиками, слабой батареей .... Всё остальное норм. Покупкой расстроен, до s1l был А 5000, разницы нет за исключением батареи (на а5000 мощнее), а цена на порядок выше!
4365	positive	Не давно (18.06.16) купил из этого магазина, все работает отлично но батарея быстро разрежается
4367	positive	Предыдущий HUAWEI G610 за 2.5 года эксплуатации нареканий не вызывал. Утерян, очень жаль... Что купить в качестве нового устройства для меня было очевидным. Из коробки обновился EMUI. Через неделю получил обновление до Android 5.1 и EMUI 3.1
4369	positive	Хорошая трубка, до этого был Qumo Quest 510 - рядом не лежал, хоть по мощностям почти идентичен.
4370	negative	Пришел в салон, говорят, на диагностику и т.д!!!!!!!!!!!!!
4371	positive	"Хороший аппарат за свои деньги. Собран крепко, не скрипит, не люфтит.
Со своей основной функцией стравляется на отлично.
Приятный дисплей, углы обзора достатоны, запас яркости пртсутствует, при отклонении на мой глаз в другой цвет не переливается.
В антуту чуть более 31000 баллов. Пришла обновка до 5.1.Игрульки тащит. Серфинг комфортный. При полной нагрузке заряда хватит до глубокого вечера. При сценарии час звонков, час серфинга(3g), пару смс, хватит до вечера второго дня."
4372	neutral	"Пользовался смартфоном аж 5 дней. Сдал второй смартфон на проверку качества в виду того, что практически мгновенно начинает слезать олеофобное покрытие с основной камеры. Очень не понравилась стоковая оболочка, но чтобы сменить ее на сторонний лаунчер нужно почитать форумы ибо при нажатии кнопки Домой (средняя кнопка) сторонний лаунчер закрывается автоматически и появляется стоковый. Отключить это конечно можно, но все очень хитро спрятано. Также очень не понравилось то, что невозможно настроить симкарту по умолчанию (например для исходящих звонков, хотя возможно я не разобрался), всегда предлагает выбрать с какой симки позвонить, что на мой взгляд не очень удобно. Связь ловит очень достойно, но автоподключение к WIFI происходит не всегда (два раза из пяти приходилось выключать и включать WIFI вручную для подключения к домашней сети). Вообще смартфон произвел неоднозначное впечатление: вроде очень неплохое железо, но програмное обеспечение фактически никак для пользователя не оптимизируется. Вывод: смартфон будет хорош для тех, кто хочет настроить каждую мелочь ""под себя""."
4373	positive	Очень довольна телефоном! Быстрый отклик, четкий экран. При работе нескольких приложений — бегает.
4375	positive	Мне нравится
4376	positive	.Так вот это он,лучше за кусков ничего нет.Просто круть,взорвал меня как в то время когда выходили всякие N8,WalkmanЫ.
4378	positive	Вообще хороший телефон мне кажется. Рекомендую.
4379	positive	За свою цену-телефон отличный. Экран на 5.5 дюймов очень хорошо подходит для просмотров видео и играть в игры. Загружается быстро и не подлагивает. Батарею держит 1 день спокойно. Отпечаток пальца-классная штука. Не надо долго вводить пароль. За 15к-достойная вещь!
4380	positive	Отличный смартфон с очень хорошим железом и качественным исполнением.
4381	positive	Писка из разьема usb у меня нет!
4382	positive	Брала для виртуальных очков сыну, оставила себе! Сыну отдала свой старенький айфон!
4383	positive	Просто сказка, камера точно лучше чем на Meizu M3 Note, потому что именно он был у меня до этого.
4384	positive	Лучший телефон, за эти деньги, до этого был 5s, вспоминаю его как страшный сон:)
4385	positive	"Покупал в офф. магазине за 10к. Именно за эту цену - телефон бомба. Камера конечно слабое место, но немного покрутив настройки можно получить неплохие снимки. Процессор здесь очень шустрый - снапдрагон 652. Сборка отличая. Есть бонусы от сервисов, где можно 3 месяца посмотреть сериалы, почитать книги и послушать музыку.
По факту, не считая минусов, его можно даже за 15 тысяч смело рекомендовать к покупке. В большинстве случаев он лучше почти всех телефонов до 30 тысяч. В этом вы можете убедиться выставив параметры. за такую цену моделей с быстрой зарядкой, металлкорпусом, 4г, сканером тупо нет. Но выбирать вам."
4387	positive	"Все  работает !!!использовал месяц не разу не не подвел и не разочаровал! 
Всем советую смартфон улет за таки деньги нет конкурентов"
4448	positive	"Пользуюсь 3 месяца, абсолютно во всем устраивает! Я не игроман-для игр есть компьютеры, не фотограф-для профессиональной съемки есть специализированные фотоаппараты) Поэтому мне вполне хватает оперативной памяти, и качество камеры на ура для рядового пользователя. Для повседневного использования просто отличный аппарат! Работает все, что нужно, не подвисает, не тормозит, музыка что без наушников, что в наушниках-отлично) Особенно нравятся внешние динамики - громкие, на максимальной громкости легко услышать звонок, даже находясь в шумном месте! Дисплей на солнце ведет себя прекрасно, даже при условии не самой максимальной настройки яркости-использую комфортный приглушенный режим, иначе глаза устают от сильно яркого, особенно в темноте или при чтении. Можно выбрать оболочку интерфейса, либо андроидовскую, либо леново, мне больше нравится леново! Аккумулятора вполне хватает на день, при том, что уровень активности средний-звонки, сообщения, интернет-серфинг, пара постоянно запущенных приложений для общения. Без проблем летает что на wi-fi, что на мобильном интернете. Поставила защитное стекло, и экран стал будто несколько приятнее на ощупь и на взгляд, нежели с пленкой) Особого труда в подборе аксессуаров нет-до этого пользовалась Sony Xperia,предпочитала их всем остальным производителям, но при покупке нового телефона в данной ценовой категории нашла для себя самую оптимальную модель! К соньке наушники и гарнитура подходили далеко не каждые, с этим же аппаратом таких проблем нет! Еще мне нравится будильник))) Чтоб его отключить без повтора, нужно провести пальцем в определенном месте, что спросонья не всегда получается) А если телефон чуть встряхнуть или перевернуть экраном вниз, звонок будильника прекращается с последующим повтором, идеально для тех, кому сложно проснуться сразу и требуется немного времени на раскачку! 
Подвожу итог начальной фразой: абсолютно во всем устраивает, и покупкой я очень довольна!Лично для меня-сплошные плюсы, и ни одного минуса."
4449	positive	Хороший недорогой телефон.
4450	positive	Соотношение цены и качества.
4451	positive	"все что то про камеру говорят, но конкретна у меня она отлично снимает, точно не хуже айфона 4s))) фронтальная так вообще снимки хорошие делает.
батареи хватает на день постоянного седения в соцсетях (аська и ватсап), а так на пару дней не очень активного использования хватит
телефоном доволен в целом"
4452	positive	Достойный вариант по соотношению цена-качество.
4453	positive	В описании указано разрешение экрана Full HD, а при покупке оказалось 1280x720
4454	neutral	Не советую к приобретению по крайней мере пока не выйдет Андроид 5.0 для этого устройства, а там будет видно.
4455	positive	Хороший смартфон за такие деньги.Гнался за емкостью и нашел что искал.В игры требующие много памяти не играю,хотя погонял на полных настройках.И еще ,читал тут комменты,сделал выводы ,что в неумелых руках и с крутым смартом, вы и в нем найдете кучу недостатков,которые вы и сами создаете!!!Всем пока и спасибо.
4456	positive	Не плахой телефон за свои деньги.
4457	neutral	Нормальный телефон за свою цену, но можно было сделать лучше.
4458	neutral	Конечно, это лучше чем мой предыдущий sony ericsson wt19i по всем параметрам, ноооо, как говорится могло быть и лучше за такие денежки.
4459	neutral	"Батарея- тут ничего не попишешь, и правда очень хорошая. 
Пленка и чехол в комплекте, хотя ""в комплекте""- само собой рекламный ход, разумеется они включены производителем в стоимость.
Теперь о недостатках - чуть ли не треть аппаратов имеет заводской баг- спонтанные перезагрузки . Баг программно не лечится, только СЦ и последующая замена, вопрос на форуме леново обсасывался не однократно, вылечить никому не удалось. Хотя меня он миновал.
Вторая проблема - попадание пыли под экран, вот он меня уже стороной не обошло. Опять таки проблема на данном аппарате очень распространенная и все на том же леново форуме часто обсуждаемая, как ответили официальные представители леново - плохая герметизация модуля дисплея, по гарантии меняют весь модуль.
Все остальное уже писали в других отзывах: низковатая чувствительность сенсора в углах, камера не на пять с плюсом - но все это вполне приемлемо, в отличии от двух перечисленных багов.
В целом если вас минуют перезагрузки и не герметичный сенсор то аппарат очень не плох, обидно только что брал его за 12190, а сейчас он 9699"
4460	positive	Ну что этот телефон был куплен в замен утерянному такому же. Очень нравиться батарея. Да все нравиться телефон использую по минимуму позвонить музыка на улицы из инета тока в контакт захожу и то редко . Могу фильм глянуть на на 5 серий по 40 минут зарядки хватает с избытком)) Камера тоже норм. на мой взгляд. За город не выезжала да и не собираюсь пока так что про связь не могу сказать. А так если кому нужен просто телефон как мне ,,, то рекомендую
4461	positive	Наверно мне повезло с моим телефоном, но я рад, что взял именно его. Не надо бегать с зарядкой в поисках розетки, можно слушать музыку, смотреть фильмы, лазить в интернете. не развалился, не люфтит. Очень рад покупкой, пользуюсь больше полугода.
4462	negative	За такие деньги посмотрите что нибудь другое.
4463	positive	Очень обрадовал,о приобретении не жалею
4464	negative	леново очень огорчил..... Благо деньги вернули!
4466	negative	"Не ожидал от Леново, бук работает хорошо.
Хочу взять теперь мото за 12000 по идее то же леново, уже не знаю  брать или не брать..."
4468	neutral	если не пользовоться камерой тогда телефон хорош
4471	positive	Хороший телефон, мне он нравиться
4472	positive	"Из недостатков люди могут еще жаловаться на:
- Неровность экрана, что порой доставляет неудобства при наклеивании защитных стекол;
- Плохое качество олеофобного покрытия. Быстро стирается если не пользоваться пленкой.
- У кого-то буквы отваливаются;
- У кого-то интерфейс тормозит.
Из всех перечисленных недостатков столкнулся только с теми, что перечислил в разделе ""Недостатки"".
В общем, не смотря на эти мелочи оооочень доволен телефоном и не расстанусь с ним очень долго. Отличная рабочая лошадка! Производительный процессор и аккумулятор - вот главное преимущество данного телефона."
4473	positive	"Кто-то жалуется, что 2 дня хватает - так это очень хорошо при современом уровне напичканности. А то и легонький хотят, и долгоиграющий, и тонкий
непонятно, о каких низах спикера идет речь, это ж телефон. Еще б неравномерность АЧХ проверяли))))"
4474	negative	Не советую покупать
4475	positive	очень достойный аппарат,наконец-то нашёл то что искал.
4476	positive	батареи хватает на 2 дня в режиме работы!
4477	positive	Купил и сразу сдал.отказал звук полностью как внешний так и внутренний.
4478	positive	Приобрел LENOVO P70 29.07.15 в DNS. Через 3 дня приобрел себе Sony Z3 C. Lenovo этот продам
4479	positive	Купил по случаю скоропостижно скончавшегося Galaxy S4. Нужно было срочно брать телефон на смену, исходил из небольшого бюджета. Отличный производительный смарт без переплаты за бренд, игры летают, в комплекте шнур для подключения флешек и зарядки телефонов. Отличная батарея, два дня спокойно держит, что не может не радовать.
4486	positive	Пожалуй лучший аппарат в этой ценовой категории, и даже в категории чуть дороже. Очень доволен покупкой. Любители фруктов пусть переплачивают раза в 3 за витамины в яблоках :)))
4487	positive	Отличный смартфон. Не успел купить по стартовой цене в 9рубликов, взял почти за 11. Но не жалко. Имея Нексус 7, теперь им почти не пользуюсь. Бампер и стекло купил в ДНС, бампер оригинал отлично смотрится. Стекла почти не видно. Вообщем отличный аппарат. Рекомендую. Второй аппарат семейства Хуавей, первый Асенд Мэйд, в обоих души не чаю.
4488	positive	Для телефона это просто супер.. бирите не пожалеете.
4489	neutral	"При покупки ЩУПАЙТЕ телефон в магазине, не берите в слепую. 
Мой вам совет: этот тел можно купить разве что ребенку, чтоб не жалко было. Себе же такой аппарат бы никому не советовал. 
Недавно его спихнул и счастлив. 
Советую присмотреться к galaxy a5/e5, ipod touch + звонилка."
4490	positive	Сеть ловит отлично, камера отличная с автофокусом, батарея держит в режиме разговора дня 3, а то и 4.
4491	positive	отличный телефон где сочетается цены качество, камерами очень доволен все игры которые пробовал все идут без лагов(из требовательных игр WOT Blitz и Real Recing 3)
4492	positive	Отличное соотношение цена-качество ,за почти полгода использования—телефоон не разу не подводил и не помню что бы глючил.Советую преобрести.
4493	positive	действительно отличный аппарат за такую цену, учитывая, что у друзей агрегаты на минимум 5 тысяч дорожэ, он не уступает в производительности ничем, а порой превосходит!...советую, правда!!!
4494	positive	Купила чехол к нему на honorcase.ru Nillkin.  Очень Довольна! так что кто говорит,  что не может найти чехлы, ищите лучше!
4495	positive	За такую цену лучше не найти, с каждой прошивкой улучшается работа смартфона. На офицальном сайте сказано, что будет обновляться андроид до 5.1 уже в октябре, маленькая, но приятная деталь. Совеиубрать
4498	positive	Рекомендую! Соотношение цена/качество на высоте!
4500	positive	Не пожалела что приобрела его.
4501	positive	бюджетный смарт. ничего лишнего. своих денег стоит
4502	positive	Владею 10 месяцев. Доволен что купил. Первая неделя после покупки сначала огорчила - заряда в режиме ожидания хватало на 1 день. Однако 2-3 полных цикла зарядки-разрядки решили эту проблему. Теперь хватает на 1,5-2 дня с включенным Wi-Fi.
4503	positive	Ни разу не жалею что купил
4504	positive	"В целом все нравится! за пол года не начал тупить или подвисать! Как бывает в большинстве случаев! 
В общем советую тем, кто выбирает телефон за такую стоимость!"
4507	positive	Хороший и компактный телефон за свои деньги. Живучий как все леновы.
4569	positive	Кстати боялся брать из-за комментариев что плохая отзывчивость экрана но купив ничуть не пожелел поставил прошивку cm-12 теперь наслаждаюсь просмотрами фильмов, прохождение игр, и сёрфингом по интернету.
4570	positive	Мне очень нравится
4571	positive	Вполне неплохо ))
4573	neutral	"При покупке в магазине всё это видел и всё же купил...
По прошествии 3-х дней: Поставил программы калибровки экрана - тач стал вменяемый и отзывчивый. Поставил рут - удалил все гугловские и сторонние примочки и аппсы, поставил нужные мне. Затем через инженерное меню отключил не используемые мной частоты 3G, 4G. Батареи стало хватать на 3-е суток. Вскрыл корпус и поправил фокусировку камеры. Документы теперь фоткает отлично(мне надо), но вот в даль - муть. В общем такое шаманство чтоб настроить телефон под себя. Зато теперь пользуюсь с удовольствием.
P.S. Огромное спасибо 4pda (не реклама)."
4574	negative	"Пользуюсь около месяца. В первые пару недель батарея нормально держала, сейчас около суток. Причем в течении дня только месенджерами пользуюсь текстовыми (без просмотра видео и тп)
На днях полчаса пыталась сфотографировать заявление (под разными ракурсами и освещением), чтобы его смогли прочитать, при передаче через интернет.
Совет: если вы придете покупать эту модель - сделайте снимок хоть один в магазине (например, своего документа). Если вам,после того, как вы его увидите, захочется приобрести его. Тогда покупайте"
4575	positive	Для бюджетного варианта очень достойная модель .
4576	positive	Хорошо подходит, когда нужен простейший смартфон на андроиде.
4577	positive	Хороший телефон за свои деньги, я брал черный, очень хороший дизайн. Но пришлось с ним повозиться
4580	negative	В обшем, все преимущества не имеют никакого смысла, когда ты приезжаешь на дачу и не может поймать не то, что интернет, а даже сеть чтобы позвонить.
4581	neutral	не советую к покупке.почитайте отзывы на профильных сайтах.проблема перезагрузки у многих.у жены S850,вот в нем одни плюсы,но слабый аккумулятор.сдали в СЦ,ждем решения.
4582	positive	Брал за 9600. Цена-качество соответствует.
4583	negative	сдала на 4-й день использования.
4584	neutral	За все недостатки зову его PoLenovo!
4585	negative	Деньги на ветер.
4586	negative	телефонотвратительный,постоянно перезагружается,удалила почти все,при этом кроме одной игры и приложения вк,больше ниче на телефоне нет,все стандартное.все равно глючит
4587	positive	Если обращаться с телефоном нормально, то и работать будет соответственно! А комменты типо- лагает...нефиг открывать по сто вкладак и лагать не будет! Это ж электронная вещь, а не таксофон!
